Source_File     ID    Size  Total_Amp 
hits_20.txt     6     2     24.10
hits_20.txt     7     1     21.78
hits_20.txt     8     1     31.91
hits_20.txt     9     4     37.74
hits_21.txt     0     1     22.47
hits_21.txt     1     1     19.97
hits_21.txt     2     2     31.07
hits_21.txt     3     1     32.41
hits_21.txt     4     1     43.82
hits_21.txt     5     1     25.04
hits_21.txt     6     1     23.81
hits_21.txt     7     1     35.52
hits_21.txt     8     1     22.41
hits_21.txt     9     2     22.76
hits_22.txt     0     1     24.92
hits_22.txt     1     1     23.20
hits_22.txt     2     2     45.93
hits_22.txt     3     1     20.33
hits_22.txt     4     1     26.59
hits_22.txt     5     1     29.71
hits_22.txt     6     1     22.45
hits_22.txt     7     4     64.45
hits_22.txt     8     2     26.58
hits_22.txt     9     2     19.04
hits_23.txt     0     1     28.18
hits_23.txt     1     2     28.15
hits_23.txt     2     1     30.96
hits_23.txt     3     3     28.38
hits_23.txt     4     1     23.19
hits_23.txt     5     1     29.01
hits_23.txt     6     1     22.74
hits_23.txt     7     2     41.63
hits_23.txt     8     2     23.25
hits_23.txt     9     2     26.87
hits_24.txt     0     1     21.11
hits_24.txt     1     1     19.10
hits_24.txt     2     1     34.63
hits_24.txt     3     1     29.04
hits_24.txt     4     2     25.95
hits_24.txt     5     1     29.07
hits_24.txt     6     1     24.35
hits_24.txt     7     2     49.09
hits_24.txt     8     1     20.64
hits_24.txt     9     1     24.39
hits_25.txt     0     2     20.17
hits_25.txt     1     1     49.15
hits_25.txt     2     1     27.05
hits_25.txt     3     1     18.57
hits_25.txt     4     1     33.93
hits_25.txt     5     2     23.93
hits_25.txt     6     1     25.51
hits_25.txt     7     1     25.63
hits_25.txt     8     3     77.08
hits_25.txt     9     1     24.13
hits_26.txt     0     2     34.97
hits_26.txt     1     2     35.55
hits_26.txt     2     1     28.58
hits_26.txt     3     1     24.10
hits_26.txt     4     1     22.49
hits_26.txt     5     1     29.56
hits_26.txt     6     1     23.71
hits_26.txt     7     1     25.22
hits_26.txt     8     1     22.43
hits_26.txt     9     4     24.44
hits_27.txt     0     2     24.56
hits_27.txt     1     1     24.26
hits_27.txt     2     1     21.67
hits_27.txt     3     1     22.04
hits_27.txt     4     2     27.43
hits_27.txt     5     1     21.66
hits_27.txt     6     1     27.00
hits_27.txt     7     1     24.69
hits_27.txt     8     2     22.83
hits_27.txt     9     3     66.45
hits_28.txt     0     1     30.32
hits_28.txt     1     1     19.39
hits_28.txt     2     2     32.91
hits_28.txt     3     1     24.48
hits_28.txt     4     1     37.90
hits_28.txt     5     1     25.15
hits_28.txt     6     1     26.21
hits_28.txt     7     2     29.66
