Source_File     ID    Size  Total_Amp 
hits_20.txt     6     2     21.08
hits_20.txt     7     2     43.53
hits_20.txt     8     2     26.56
hits_20.txt     9     2     44.49
hits_21.txt     0     1     36.46
hits_21.txt     1     2     25.07
hits_21.txt     2     2     25.18
hits_21.txt     3     2     31.88
hits_21.txt     4     1     24.86
hits_21.txt     5     1     23.02
hits_21.txt     6     1     23.89
hits_21.txt     7     1     24.71
hits_21.txt     8     2     22.10
hits_21.txt     9     2     39.11
hits_22.txt     0     1     24.09
hits_22.txt     1     2     49.45
hits_22.txt     2     1     24.92
hits_22.txt     3     1     19.58
hits_22.txt     4     1     29.77
hits_22.txt     5     1     20.31
hits_22.txt     6     2     23.13
hits_22.txt     7     1     26.74
hits_22.txt     8     4     31.19
hits_22.txt     9     2     28.33
hits_23.txt     0     1     20.59
hits_23.txt     1     2     25.27
hits_23.txt     2     2     23.68
hits_23.txt     3     2     25.13
hits_23.txt     4     1     21.82
hits_23.txt     5     1     29.16
hits_23.txt     6     1     27.37
hits_23.txt     7     1     23.24
hits_23.txt     8     1     19.87
hits_23.txt     9     2     26.31
hits_24.txt     0     2     21.41
hits_24.txt     1     1     20.27
hits_24.txt     2     1     23.32
hits_24.txt     3     6     51.56
hits_24.txt     4     1     19.60
hits_24.txt     5     2     25.52
hits_24.txt     6     2     29.25
hits_24.txt     7     2     21.04
hits_24.txt     8     2     20.52
hits_24.txt     9     2     35.30
hits_25.txt     0     2     24.79
hits_25.txt     1     1     26.72
hits_25.txt     2     1     38.70
hits_25.txt     3     2     24.23
hits_25.txt     4     1     30.24
hits_25.txt     5     2     21.86
hits_25.txt     6     1     30.36
hits_25.txt     7     1     21.39
hits_25.txt     8     1     20.25
hits_25.txt     9     2     21.18
hits_26.txt     0     1     26.13
hits_26.txt     1     1     24.23
hits_26.txt     2     1     24.72
hits_26.txt     3     3     21.46
hits_26.txt     4     1     45.99
hits_26.txt     5     1     27.03
hits_26.txt     6     1     20.26
hits_26.txt     7     1     20.37
hits_26.txt     8     3     53.69
hits_26.txt     9     3     21.57
hits_27.txt     0     5     87.80
hits_27.txt     1     1     67.89
hits_27.txt     2     1     24.17
hits_27.txt     3     2     30.83
hits_27.txt     4     1     26.66
hits_27.txt     5     5     65.42
hits_27.txt     6     1     23.29
hits_27.txt     7     1     20.20
hits_27.txt     8     1     23.86
hits_27.txt     9     1     19.05
hits_27.txt     10    1     29.89
hits_28.txt     0     2     22.71
hits_28.txt     1     2     23.78
hits_28.txt     2     1     27.02
hits_28.txt     3     1     27.16
hits_28.txt     4     1     24.05
hits_28.txt     5     3     26.19
hits_28.txt     6     1     30.13
hits_28.txt     7     2     24.81
hits_28.txt     8     1     28.63
hits_28.txt     9     1     23.95
hits_29.txt     0     2     32.64
hits_29.txt     1     4     31.12
hits_29.txt     2     1     20.75
hits_29.txt     3     4     25.25
hits_29.txt     4     7     96.25
hits_29.txt     5     1     30.75
hits_29.txt     6     1     44.28
hits_29.txt     7     1     25.32
hits_29.txt     8     2     25.07
hits_29.txt     9     1     22.71
hits_30.txt     0     1     29.44
hits_30.txt     1     1     22.99
hits_30.txt     2     3     28.24
hits_30.txt     3     1     38.86
hits_30.txt     4     1     21.53
hits_30.txt     5     2     25.92
hits_30.txt     6     1     22.71
hits_30.txt     7     2     23.17
hits_30.txt     8     1     24.52
hits_30.txt     9     4     22.56
hits_31.txt     0     1     20.77
hits_31.txt     1     3     27.09
hits_31.txt     2     1     21.08
hits_31.txt     3     1     25.77
hits_31.txt     4     2     19.75
hits_31.txt     5     2     41.49
hits_31.txt     6     1     19.97
hits_31.txt     7     1     41.30
hits_31.txt     8     1     32.99
hits_31.txt     9     1     22.87
hits_32.txt     0     2     24.56
hits_32.txt     1     2     22.12
hits_32.txt     2     7     193.02
hits_32.txt     3     1     20.80
hits_32.txt     4     1     31.59
hits_32.txt     5     4     22.40
hits_32.txt     6     3     44.61
hits_32.txt     7     1     22.33
hits_32.txt     8     2     29.69
hits_32.txt     9     1     26.37
hits_32.txt     10    15    82.34
hits_32.txt     11    2     23.09
hits_33.txt     0     10    77.18
hits_33.txt     1     1     31.03
hits_33.txt     2     2     23.25
hits_33.txt     3     2     23.15
hits_33.txt     4     2     26.68
hits_33.txt     5     1     24.34
hits_33.txt     6     1     27.47
hits_33.txt     7     1     20.95
hits_33.txt     8     2     24.70
hits_33.txt     9     2     25.52
hits_33.txt     10    2     19.83
hits_34.txt     0     3     58.04
hits_34.txt     1     2     19.99
hits_34.txt     2     1     23.73
hits_34.txt     3     1     23.40
hits_34.txt     4     3     54.21
hits_34.txt     5     1     25.11
hits_34.txt     6     2     18.44
hits_34.txt     7     3     35.86
hits_34.txt     8     3     27.07
hits_34.txt     9     2     24.19
hits_35.txt     0     2     22.18
hits_35.txt     1     2     36.55
hits_35.txt     2     2     20.03
hits_35.txt     3     2     23.15
hits_35.txt     4     1     26.71
hits_35.txt     5     1     24.52
hits_35.txt     6     2     37.79
hits_35.txt     7     2     25.77
hits_35.txt     8     1     37.69
hits_35.txt     9     2     22.48
hits_36.txt     0     2     25.92
hits_36.txt     1     1     33.51
hits_36.txt     2     1     29.46
hits_36.txt     3     2     25.00
hits_36.txt     4     1     42.31
hits_36.txt     5     1     25.96
hits_36.txt     6     2     30.15
hits_36.txt     7     1     22.12
hits_36.txt     8     2     42.84
hits_36.txt     9     2     21.42
hits_37.txt     0     2     25.32
hits_37.txt     1     2     25.98
hits_37.txt     2     1     20.46
hits_37.txt     3     2     24.24
hits_37.txt     4     1     20.46
hits_37.txt     5     2     25.99
hits_37.txt     6     2     30.04
hits_37.txt     7     1     24.23
hits_37.txt     8     1     21.39
hits_37.txt     9     2     28.99
hits_38.txt     0     4     24.21
hits_38.txt     1     1     20.89
hits_38.txt     2     2     22.66
hits_38.txt     3     2     37.50
hits_38.txt     4     1     23.38
hits_38.txt     5     1     31.34
hits_38.txt     6     1     23.93
hits_38.txt     7     2     20.77
hits_38.txt     8     1     24.84
hits_38.txt     9     2     20.42
hits_39.txt     0     2     32.45
hits_39.txt     1     1     25.58
hits_39.txt     2     2     33.66
hits_39.txt     3     2     29.80
hits_39.txt     4     2     25.66
hits_39.txt     5     1     25.05
hits_39.txt     6     2     20.26
hits_39.txt     7     1     26.32
hits_39.txt     8     1     34.77
hits_39.txt     9     1     28.38
hits_40.txt     0     3     23.64
hits_40.txt     1     1     34.20
hits_40.txt     2     3     29.14
hits_40.txt     3     2     22.77
hits_40.txt     4     1     23.28
hits_40.txt     5     2     29.46
hits_40.txt     6     1     21.74
hits_40.txt     7     4     24.54
hits_40.txt     8     1     34.57
hits_40.txt     9     1     23.29
hits_41.txt     0     1     34.57
hits_41.txt     1     1     23.14
hits_41.txt     2     1     21.35
hits_41.txt     3     2     29.24
hits_41.txt     4     1     19.91
hits_41.txt     5     1     22.59
hits_41.txt     6     2     23.90
hits_41.txt     7     1     25.12
hits_41.txt     8     1     29.01
hits_41.txt     9     1     24.81
hits_42.txt     0     4     48.81
hits_42.txt     1     2     32.71
hits_42.txt     2     1     23.39
hits_42.txt     3     1     22.61
hits_42.txt     4     1     25.40
hits_42.txt     5     1     29.28
hits_42.txt     6     1     24.49
hits_42.txt     7     2     33.06
hits_42.txt     8     1     28.81
hits_42.txt     9     1     23.19
hits_43.txt     0     3     43.80
hits_43.txt     1     2     26.48
hits_43.txt     2     2     34.54
hits_43.txt     3     1     28.86
hits_43.txt     4     1     22.47
hits_43.txt     5     1     22.07
hits_43.txt     6     2     22.90
hits_43.txt     7     2     24.95
hits_43.txt     8     1     24.41
hits_43.txt     9     2     29.49
hits_44.txt     0     3     27.90
hits_44.txt     1     1     27.09
hits_44.txt     2     2     27.21
hits_44.txt     3     2     21.01
hits_44.txt     4     2     23.57
hits_44.txt     5     1     37.34
hits_44.txt     6     1     26.45
hits_44.txt     7     1     25.01
hits_44.txt     8     2     23.98
hits_44.txt     9     2     23.01
hits_45.txt     0     1     22.45
hits_45.txt     1     1     22.94
hits_45.txt     2     1     23.24
hits_45.txt     3     1     19.20
hits_45.txt     4     2     25.11
hits_45.txt     5     3     46.92
hits_45.txt     6     2     25.04
hits_45.txt     7     2     24.24
hits_45.txt     8     2     41.30
hits_45.txt     9     1     29.09
hits_46.txt     0     4     22.86
hits_46.txt     1     10    106.99
hits_46.txt     2     2     39.29
hits_46.txt     3     1     23.79
hits_46.txt     4     1     34.12
hits_46.txt     5     4     50.34
hits_46.txt     6     4     31.57
hits_46.txt     7     1     19.77
hits_46.txt     8     2     56.76
hits_47.txt     0     2     28.65
hits_47.txt     1     2     32.70
hits_47.txt     2     2     26.02
hits_47.txt     3     2     20.58
hits_47.txt     4     2     25.67
hits_47.txt     5     1     24.39
hits_47.txt     6     1     20.24
hits_47.txt     7     2     24.47
hits_47.txt     8     1     22.94
hits_47.txt     9     1     29.55
hits_48.txt     0     1     21.48
hits_48.txt     1     1     45.87
hits_48.txt     2     4     29.05
hits_48.txt     3     1     25.13
hits_48.txt     4     2     23.80
hits_48.txt     5     2     36.39
hits_48.txt     6     2     18.65
hits_48.txt     7     1     32.01
hits_48.txt     8     1     25.87
hits_48.txt     9     4     86.83
hits_49.txt     0     1     21.32
hits_49.txt     1     3     56.36
hits_49.txt     2     1     23.52
hits_49.txt     3     1     25.15
hits_49.txt     4     1     26.84
hits_49.txt     5     2     18.45
hits_49.txt     6     1     61.59
hits_49.txt     7     4     67.49
hits_49.txt     8     1     22.31
hits_49.txt     9     1     24.04
hits_50.txt     0     1     18.15
hits_50.txt     1     2     19.94
hits_50.txt     2     2     20.68
hits_50.txt     3     2     19.64
hits_50.txt     4     1     25.44
hits_50.txt     5     4     20.86
hits_50.txt     6     1     25.76
hits_50.txt     7     2     48.77
hits_50.txt     8     3     31.84
hits_50.txt     9     2     45.94
hits_51.txt     0     2     23.21
hits_51.txt     1     1     30.69
hits_51.txt     2     1     38.51
hits_51.txt     3     1     27.62
hits_51.txt     4     1     29.37
hits_51.txt     5     1     24.84
hits_51.txt     6     2     26.29
hits_51.txt     7     1     38.62
hits_51.txt     8     2     41.42
hits_51.txt     9     1     24.85
hits_52.txt     0     2     24.68
hits_52.txt     1     2     23.87
hits_52.txt     2     2     28.15
hits_52.txt     3     2     25.11
hits_52.txt     4     2     24.42
hits_52.txt     5     2     21.28
hits_52.txt     6     7     52.17
hits_52.txt     7     1     26.31
hits_52.txt     8     1     26.17
hits_52.txt     9     3     26.99
hits_53.txt     0     1     21.78
hits_53.txt     1     2     23.18
hits_53.txt     2     1     26.82
hits_53.txt     3     2     29.24
hits_53.txt     4     2     22.85
hits_53.txt     5     1     20.80
hits_53.txt     6     2     24.64
hits_53.txt     7     4     60.70
hits_53.txt     8     2     34.32
hits_53.txt     9     1     21.89
hits_54.txt     0     1     20.27
hits_54.txt     1     1     31.92
hits_54.txt     2     2     26.03
hits_54.txt     3     1     23.74
hits_54.txt     4     1     19.75
hits_54.txt     5     3     46.19
hits_54.txt     6     2     21.85
hits_54.txt     7     3     49.92
hits_54.txt     8     1     37.24
hits_54.txt     9     1     28.44
hits_55.txt     0     1     19.61
hits_55.txt     1     2     34.61
hits_55.txt     2     3     45.91
hits_55.txt     3     2     24.78
hits_55.txt     4     2     23.82
hits_55.txt     5     2     28.04
hits_55.txt     6     2     26.07
hits_55.txt     7     2     22.02
hits_55.txt     8     1     20.78
hits_56.txt     0     1     26.77
hits_56.txt     1     2     22.41
hits_56.txt     2     1     20.39
hits_56.txt     3     1     28.18
hits_56.txt     4     1     24.87
hits_56.txt     5     5     81.44
hits_56.txt     6     1     30.67
hits_56.txt     7     2     27.14
hits_56.txt     8     2     24.71
hits_56.txt     9     1     21.12
hits_57.txt     0     1     36.90
hits_57.txt     1     3     47.19
hits_57.txt     2     1     22.77
hits_57.txt     3     2     24.69
hits_57.txt     4     1     27.46
hits_57.txt     5     1     25.20
hits_57.txt     6     2     29.11
hits_57.txt     7     1     24.27
hits_57.txt     8     1     28.33
hits_57.txt     9     1     34.39
hits_58.txt     0     1     22.52
hits_58.txt     1     2     28.06
hits_58.txt     2     2     27.69
hits_58.txt     3     1     32.62
hits_58.txt     4     1     38.68
hits_58.txt     5     1     22.96
hits_58.txt     6     1     23.73
hits_58.txt     7     2     20.39
hits_58.txt     8     3     25.85
hits_58.txt     9     1     22.18
hits_59.txt     0     2     26.72
hits_59.txt     1     1     25.23
hits_59.txt     2     1     30.79
hits_59.txt     3     5     52.63
hits_59.txt     4     1     29.94
hits_59.txt     5     2     34.01
hits_59.txt     6     1     21.69
hits_59.txt     7     1     21.78
hits_59.txt     8     1     24.64
hits_59.txt     9     2     19.40
hits_59.txt     10    1     25.95
hits_60.txt     0     2     47.65
hits_60.txt     1     1     21.35
hits_60.txt     2     2     22.96
hits_60.txt     3     3     40.16
hits_60.txt     4     4     25.84
hits_60.txt     5     1     22.10
hits_60.txt     6     2     24.66
hits_60.txt     7     1     22.15
hits_60.txt     8     2     27.63
hits_60.txt     9     2     21.01
hits_61.txt     0     1     23.52
hits_61.txt     1     1     25.11
hits_61.txt     2     1     24.18
hits_61.txt     3     2     23.70
hits_61.txt     4     1     26.67
hits_61.txt     5     2     30.62
hits_61.txt     6     1     24.56
hits_61.txt     7     2     24.21
hits_61.txt     8     1     43.67
hits_61.txt     9     2     54.24
hits_62.txt     0     5     71.86
hits_62.txt     1     2     25.63
hits_62.txt     2     2     30.30
hits_62.txt     3     3     24.24
hits_62.txt     4     1     18.89
hits_62.txt     5     2     40.47
hits_62.txt     6     3     58.68
hits_62.txt     7     2     43.69
hits_62.txt     8     1     21.95
hits_62.txt     9     2     28.81
hits_63.txt     0     2     24.01
hits_63.txt     1     3     47.99
hits_63.txt     2     2     29.19
hits_63.txt     3     1     22.49
hits_63.txt     4     1     30.55
hits_63.txt     5     2     22.63
hits_63.txt     6     2     24.76
hits_63.txt     7     1     23.02
hits_63.txt     8     2     22.04
hits_63.txt     9     1     22.02
hits_64.txt     0     1     23.49
hits_64.txt     1     2     31.17
hits_64.txt     2     1     24.56
hits_64.txt     3     1     20.83
hits_64.txt     4     2     39.96
hits_64.txt     5     1     26.86
hits_64.txt     6     1     57.51
hits_64.txt     7     2     28.01
hits_64.txt     8     1     27.91
hits_64.txt     9     1     25.09
hits_65.txt     0     2     36.05
